T,instance,density,algorithm,run,seed,elapsed,HV,IGD,GD,Spacing,F1,F2,F3,F4
50,1,1.0,NSGA-II,12,2095133046,971.7135674953461,257.0337361876584,2.1284681364669016,7.3858545623289835,12.577516759881355,1.4037162206715397,46.95291728943238,1.0,0.37063979145458104
50,1,1.0,NSGA-II,11,1130604998,988.8839154243469,166.10931207286504,3.3815893744559293,4.4971781253728045,32.09464857859944,1.3887418570745853,68.67459320810865,1.0,0.4621097228417276
50,1,1.0,NSGA-II,13,1580016184,981.1203854084015,70.66015086648171,7.788105020611478,6.44684408819425,22.68763667962889,1.3111414006519184,45.80530078913063,1.0,0.35455737458870806
50,1,1.0,NSGA-II,14,1634535063,979.5393557548523,97.74100440465683,5.254939230052737,7.475744730181957,5.225715599460219,1.395027404969706,56.06349774249652,1.0,0.4443780887016481
50,1,1.0,NSGA-II,17,1102145673,980.6836264133453,199.11842960942417,2.582427172111202,7.989698213021825,12.065819412785224,1.3981560965574515,76.68192259819757,1.0,0.36270861948551403
50,1,1.0,NSGA-II,18,275121931,958.4929623603821,101.7409917887853,5.622589163656019,4.011030086138613,10.837227955600305,1.3365833154535713,25.103535159413305,1.0,0.3939091227781445
50,1,1.0,NSGA-II,16,1688060241,992.4413304328918,71.16265055789859,6.915892679496104,3.2799014584042663,3.4411023163981587,1.3078091177037656,32.08590350910435,1.0,0.41586049122685237
50,1,1.0,NSGA-II,15,1540770720,1007.5875573158264,166.094515661864,4.843037318147533,5.749729871928376,9.589211262919614,1.4300287450223133,33.450851850119,0.98,0.3961269769315381
50,1,1.0,NSGA-II,19,1803345591,994.3531107902527,146.00105378548116,6.9181159010337865,4.655518455232799,4.75066567259859,1.6540020819212362,29.170316333922546,0.98,0.5201104856826193
50,1,1.0,NSGA-II,20,967196436,994.4703106880188,345.0233626619774,2.2829313176286656,8.632840231950972,26.022721340786056,1.4747322640366571,33.319866450147046,1.0,0.49908896684545806
50,1,1.0,NSGA-II,23,392022359,978.2484328746796,86.82274772046313,6.33952909687724,2.747103450625249,19.996761451517585,1.5751011927360825,18.953687589592445,1.0,0.39748522478885173
50,1,1.0,NSGA-II,22,796282693,986.6747550964355,308.4881775118153,4.791947701230495,18.024438088394955,10.261905960777147,1.2707582449540387,59.99108863503382,1.0,0.43137377945576383
50,1,1.0,NSGA-II,21,1074497556,1004.555742263794,227.14565008365653,3.112570134968364,7.163471468380308,7.688845948301154,1.6692984565655065,32.39041554670006,1.0,0.46471851497134276
50,1,1.0,NSGA-II,24,1990212659,993.0713329315186,101.71479138673305,6.382365801737062,5.018074089663797,17.18428788928734,1.563277942307729,45.790330584679694,1.0,0.4359409636518535
50,1,1.0,NSGA-II,26,1382689816,985.5622024536133,232.74478267037887,5.377669539042717,6.863735547352053,81.60939751979195,1.409595477630108,18.149193917616632,1.0,0.4535658355589941
50,1,1.0,NSGA-II,25,1678403331,986.1851975917816,258.67296345589375,2.185301682698302,5.163417294788828,13.181253286389241,1.3041868429569023,32.14237507810006,1.0,0.415808365753705
50,1,1.0,NSGA-II,28,1766867110,982.458943605423,96.78563271948502,6.476936304655691,7.351660198077902,0.9312578927019682,1.3826251748531107,40.538048399648474,1.0,0.4945216272366276
50,1,1.0,NSGA-II,27,864178267,996.6405601501465,79.39895517516723,7.500628241049274,3.2266502312503924,3.595429414103965,1.5861951119077649,26.126666842132664,1.0,0.5067805593516054
50,1,1.0,NSGA-II,29,1171300113,972.5160467624664,134.00308663867662,5.386981198640754,4.4193385897412085,16.544991887175218,1.3515154960873854,31.82250774035586,1.0,0.3870297781065638
50,1,1.0,NSGA-II,30,952224741,982.509646654129,192.96769820645994,2.7801776875741826,8.228463901267801,24.472479342992834,1.5093319442455768,47.80874541977309,1.0,0.39045934337210536
50,1,1.0,MOPSO,2,1662057958,708.9058368206024,712.9055109778909,3.5235178976034507,26.27884016606561,12.224690893809642,2.2660519488106448,56.84258398643426,0.82,0.41814035409669337
50,1,1.0,MOPSO,1,191664964,726.1400623321533,705.2672661538022,3.477148813665154,16.7935047416474,21.786632074509374,2.162041217486131,26.64572276229221,0.76,0.7296237379246069
50,1,1.0,MOPSO,4,942484272,712.9507110118866,705.0480182942769,3.245032287741662,98.06405527197731,9.231662793839488,2.0793667433705068,55.76401386163026,0.8,0.7714723892295572
50,1,1.0,MOPSO,5,929893138,708.5700480937958,332.1408604988714,4.759006073807955,110.38616247309339,8.625265969271567,1.5275596171498027,138.66735829842628,0.74,0.4098881603220996
50,1,1.0,MOPSO,6,1843824993,712.4125471115112,478.64072161155406,4.059620935476494,56.73854043065407,6.943745374040802,2.21078161349997,111.4213069235942,0.88,0.5075382238347864
50,1,1.0,MOPSO,3,1405681632,742.6658706665039,717.5185203598215,4.143284611559111,40.73055082134736,16.46400358402482,2.665752131202891,125.67313667733136,0.96,0.6673026527660227
50,1,1.0,MOPSO,8,1497586439,723.9672479629517,534.9691456853812,3.0881093684471397,9.392544141647834,10.743817858880202,2.2688935037748883,92.62350208199851,0.8,0.501859387662285
50,1,1.0,MOPSO,9,432652533,726.4681854248047,329.8309986332074,3.151086953757405,89.70016878889679,12.413591557372575,1.7691911385255872,348.5614905921952,0.96,0.4702472057092384
50,1,1.0,MOPSO,7,184566854,749.9498209953308,494.7800550432567,3.8557530725097706,22.99765396521086,14.480144789996103,2.4594030254422865,27.53407010637902,0.76,0.5119826400064326
50,1,1.0,MOPSO,10,202244314,729.8432056903839,791.4345786802153,4.6696952163726735,227.0818212603375,75.56172580512339,2.1781493377869707,374.66470800880074,0.98,0.46942641606354407
50,1,1.0,MOPSO,11,1130604998,706.734715461731,387.63158655526547,3.2068944370595593,35.70085723561374,9.631498967664553,1.7029694833458267,87.35860559343935,0.82,0.40443327326254536
50,1,1.0,MOPSO,12,2095133046,726.0396766662598,794.1382117099317,4.225620869937257,162.6812539856462,17.970675249284042,2.053210843125605,362.80489898473945,0.92,0.4440394473341459
50,1,1.0,MOPSO,14,1634535063,721.5899732112885,692.4710058331829,3.736268641472334,57.14338617668301,16.068311795736378,2.357985426827252,203.94184979606996,0.92,0.3704770405088481
50,1,1.0,MOPSO,16,1688060241,714.2832317352295,680.0583396216136,4.595597388012963,57.34132247303455,20.02296871528445,1.9544582997245254,269.79439970509367,0.92,0.5739732422993681
50,1,1.0,MOPSO,15,1540770720,717.9293417930603,652.4942067611169,21.71978979128185,248.8326624292688,8.753036362906181,2.0760035623267985,309.68736286277067,0.96,0.4919932168539677
50,1,1.0,MOPSO,13,1580016184,740.9014842510223,819.734748234858,3.621255512055375,48.97185588488304,26.94988815950054,1.7363995101599201,160.22645586433725,0.84,0.42451374568754646
50,1,1.0,MOPSO,18,275121931,708.3206489086151,456.5305821456206,4.2852477638538025,4.976155033083671,6.121116202105334,2.082308011727919,38.430524047999924,0.78,0.3967210546016872
50,1,1.0,MOPSO,17,1102145673,727.2672781944275,499.4121645095294,3.9729122408020867,68.86559419506675,17.241013059829648,1.8454878762108957,88.03560778736048,0.88,0.4894664308541026
50,1,1.0,MOPSO,20,967196436,725.541618347168,870.5825120076188,2.9276400914722744,111.81127101869708,46.89919016706744,1.7837895864939148,474.9786146178222,1.0,0.5014215795018853
50,1,1.0,MOPSO,19,1803345591,762.2008919715881,562.3069125694649,3.0465121595008484,78.16131172910345,45.52582348839192,1.900482701629255,360.55642538970466,1.0,0.399464434618246
50,1,1.0,MOPSO,25,1678403331,712.9841248989105,526.4353974703413,3.5357705904397947,142.07213008906692,10.145299936597782,2.3724712532780594,60.682690281479836,0.82,0.4595976418532986
50,1,1.0,MOPSO,21,1074497556,762.277147769928,525.2350624392375,3.86279729783967,33.99643126575578,16.591966508061027,2.3429745026429774,19.65333805035616,0.84,0.5603962567331273
50,1,1.0,MOPSO,22,796282693,748.0942685604095,460.8142922677959,2.8790030967767457,109.08747534597137,5.677358408898223,2.3129417988346344,226.71959562211447,0.86,0.32659234377734575
50,1,1.0,MOPSO,23,392022359,735.310111284256,474.7288861499559,3.6683217761375446,102.18737752172517,10.99683634866401,2.3109314433815493,65.56570378184571,0.78,0.46745681134069095
50,1,1.0,MOPSO,26,1382689816,739.9461269378662,750.9840212866595,4.088160555099586,51.173615548876235,17.27439482929736,2.066667716301556,282.3703257130876,0.92,0.5370443497228768
50,1,1.0,MOPSO,24,1990212659,769.0487797260284,395.03409459327764,3.4863138378510583,89.56717541348229,13.108976821432806,1.8440340425652308,279.0975402920795,0.96,0.5544927594863903
50,1,1.0,MOPSO,27,864178267,766.7364830970764,607.6570952947808,3.572149862137392,11.953536772435067,5.736155892652226,2.219212302159591,169.19970072757238,0.8,0.47545880547896724
50,1,1.0,MOPSO,29,1171300113,734.6152548789978,741.10135008952,3.4844697149188213,28.944955365205576,27.237402405290545,2.4673391701148653,152.38120462413212,0.88,0.6866140611148607
50,1,1.0,MOPSO,28,1766867110,782.0828199386597,628.8772653652134,6.155213536525335,34.068448913348625,23.40736094543366,2.31227446992832,25.344669326939346,0.92,0.5369557582999125
50,1,1.0,MOPSO,30,952224741,754.706755399704,664.575806636124,4.694233456180361,67.89255165641062,17.71630233782942,2.1849484782612696,277.12822053648983,0.84,0.43839054234389446
50,1,1.0,MOEAD,4,942484272,138.63112950325012,104.12048830464933,10.328911152899513,21.848795615214197,0.010070237863984387,1.3029666476052333,455.1050944057189,1.0,0.375733388861044
50,1,1.0,MOEAD,1,191664964,162.90967893600464,75.6025176870798,5.172146079199386,1.0408295476842298,0.0,1.3831843754382158,16.8555854734954,0.98,0.38420024496715577
50,1,1.0,MOEAD,3,1405681632,153.3142478466034,98.20914115512298,4.202903266169526,2.6747488680388773,0.002891820455003354,1.5204043757302679,17.017614016348833,0.94,0.49027696866349113
50,1,1.0,MOEAD,2,1662057958,178.79503750801086,188.88688901120747,5.852781400557927,3.5889516470495013,4.893883474762523,1.5925169487441362,17.76445708612655,0.94,0.4878375241092563
50,1,1.0,MOEAD,5,929893138,161.0686478614807,102.15370080111873,10.414778583312362,15.222178474453305,0.0,1.5975721262049245,16.908143813902367,0.98,0.49525443407863173
50,1,1.0,MOEAD,6,1843824993,144.3153715133667,54.746973583161136,3.854666095112367,1.3954366409952808,0.013178968657230188,1.3012870608097336,145.57832051949202,1.0,0.441816992194183
